ref,Re,cd,cd_err,cl,cl_err,st
Goin (1968),200,0.751,0.01502,NA,NA,NA
Goin (1968),400,0.608,0.01216,NA,NA,NA
Goin (1968),600,0.537,0.01072,NA,NA,NA
Goin (1968),800,0.494,0.00988,NA,NA,NA
Goin (1968),1000,0.466,0.00932,NA,NA,NA
Johnson (1999),100,1.0938,NA,NA,NA,NA
Johnson (1999),200,0.789,NA,NA,NA,NA
Johnson (1999),300,0.656,3.5e-3,-0.069,1.6e-2,0.137
Roos (1971),100,1.097,NA,NA,NA,NA
Roos (1971),300,0.629,NA,NA,NA,NA
Nagata (2020),300,0.6644,NA,NA,NA,NA
Nagata (2020),500,0.5679,NA,NA,NA,NA
Nagata (2020),750,0.5085,NA,NA,NA,NA
Tomboulides (2000),300,0.671,2.8e-3,NA,NA,0.136
Tomboulides (2000),500,NA,NA,NA,NA,0.167
Tomboulides (2000),1000,NA,NA,NA,NA,0.195
